level_0,level_1,level_2,no_vis_no_aud_data_Oz
0,0,0,-1.2883928512647146e-06
0,0,1,-3.1187967134413744e-06
0,0,2,-3.309659636420713e-06
0,0,3,-2.136890393567966e-06
0,0,4,-9.479387840938478e-07
0,0,5,-4.3744135579530763e-07
0,0,6,2.537568983894316e-08
0,0,7,1.3861461618131383e-06
0,0,8,3.5287467270018037e-06
0,0,9,5.1824034789283335e-06
0,0,10,5.230326210670376e-06
0,0,11,3.8130860616307483e-06
0,0,12,1.989360891997138e-06
0,0,13,4.0585219417105895e-07
0,0,14,-1.2306546706559364e-06
0,0,15,-3.3395143461481004e-06
0,0,16,-5.4618562803507775e-06
0,0,17,-6.465979919029099e-06
0,0,18,-5.810455782192099e-06
0,0,19,-4.253094147936912e-06
0,0,20,-2.959244783127602e-06
0,0,21,-1.994262886613799e-06
0,0,22,-1.5013318030449408e-07
0,0,23,3.3168231805965026e-06
0,0,24,7.137096797063525e-06
0,0,25,8.594867668596917e-06
0,0,26,6.153679806467961e-06
0,0,27,1.3819087349849655e-06
0,0,28,-2.1193666131909614e-06
0,0,29,-2.079355939775421e-06
0,0,30,2.071964476223971e-07
0,0,31,1.221843758702278e-06
0,0,32,-1.0714928226255671e-06
0,0,33,-5.0310795654051675e-06
0,0,34,-6.914859216788547e-06
0,0,35,-4.727201010110057e-06
0,0,36,-2.891981737213635e-07
1,0,0,1.5782521821693839e-06
1,0,1,2.7992894009581113e-06
1,0,2,3.973672269334789e-06
1,0,3,4.575679190536836e-06
1,0,4,5.2849122644947795e-06
1,0,5,7.129267866554003e-06
1,0,6,9.744434064171224e-06
1,0,7,1.0952932079319759e-05
1,0,8,8.619446581379644e-06
1,0,9,3.2466320164465452e-06
1,0,10,-1.5637464690557151e-06
1,0,11,-1.7190037653237207e-06
1,0,12,3.7835685925438037e-06
1,0,13,1.1611166146610543e-05
1,0,14,1.6456459952335204e-05
1,0,15,1.5081285025273037e-05
1,0,16,8.573092182324708e-06
1,0,17,1.183467720138592e-06
1,0,18,-2.9872302993160524e-06
1,0,19,-2.5602572731688765e-06
1,0,20,8.867534366150431e-07
1,0,21,4.662691641345681e-06
1,0,22,6.933103680777976e-06
1,0,23,7.598466731445366e-06
1,0,24,7.87696347202306e-06
1,0,25,9.231102877713408e-06
1,0,26,1.223472081660808e-05
1,0,27,1.6117394501695696e-05
1,0,28,1.9082072242454767e-05
1,0,29,1.950357283889983e-05
1,0,30,1.7115910559757207e-05
1,0,31,1.3385647816276515e-05
1,0,32,1.0469846321519035e-05
1,0,33,9.661509246410938e-06
1,0,34,1.0424877992410255e-05
1,0,35,1.1075463572943038e-05
1,0,36,1.0286128389023293e-05
2,0,0,7.6108271284245255e-06
2,0,1,5.60204797855836e-06
2,0,2,6.671132822975631e-07
2,0,3,-3.1790336398310377e-06
2,0,4,-3.1088959539703415e-06
2,0,5,2.0498257832371975e-07
2,0,6,4.078993212561021e-06
2,0,7,6.03461930847625e-06
2,0,8,5.567387134957307e-06
2,0,9,3.377485022917166e-06
2,0,10,5.934293855923414e-07
2,0,11,-2.0340585554786366e-06
2,0,12,-3.6940543036720417e-06
2,0,13,-3.946913479618369e-06
2,0,14,-2.9652965609633776e-06
2,0,15,-2.110358977530378e-06
2,0,16,-2.706585696018646e-06
2,0,17,-4.960989173269668e-06
2,0,18,-7.231183661566057e-06
2,0,19,-7.542313072529628e-06
2,0,20,-5.169201617438555e-06
2,0,21,-1.624697530695852e-06
2,0,22,9.193529104438111e-07
2,0,23,1.3468667221487195e-06
2,0,24,7.200757971056389e-07
2,0,25,7.446429774065385e-07
2,0,26,2.0990696015279862e-06
2,0,27,3.711517693599949e-06
2,0,28,4.390535170327464e-06
2,0,29,4.2105414367920365e-06
2,0,30,4.6703030207192965e-06
2,0,31,6.567096086287439e-06
2,0,32,8.802506767297262e-06
2,0,33,8.973267674280592e-06
2,0,34,6.1507861580816815e-06
2,0,35,2.187772621113678e-06
2,0,36,5.04274938304698e-07
3,0,0,3.6347279633913623e-06
3,0,1,6.01943875028381e-06
3,0,2,6.587217019773527e-06
3,0,3,5.094572846673582e-06
3,0,4,2.017697473145704e-06
3,0,5,-1.2456492371790926e-06
3,0,6,-2.7458222075325015e-06
3,0,7,-1.396635910061816e-06
3,0,8,2.053908823337444e-06
3,0,9,5.2920241493707384e-06
3,0,10,6.508993198297815e-06
3,0,11,5.919603515382535e-06
3,0,12,5.726017201427625e-06
3,0,13,7.794783712333569e-06
3,0,14,1.1675545275731684e-05
3,0,15,1.4507361845688695e-05
3,0,16,1.3633846741301515e-05
3,0,17,9.177203310500133e-06
3,0,18,4.6757468922873485e-06
3,0,19,4.261899875770693e-06
3,0,20,9.107851064275592e-06
3,0,21,1.569924084580303e-05
3,0,22,1.8232109413215654e-05
3,0,23,1.3006909478558738e-05
3,0,24,1.8497401745718367e-06
3,0,25,-8.932477200096131e-06
3,0,26,-1.290427772930678e-05
3,0,27,-8.490894960336683e-06
3,0,28,1.3221869236646946e-07
3,0,29,6.2309861296748524e-06
3,0,30,5.941714059507869e-06
3,0,31,6.180445417394745e-07
3,0,32,-4.864432484918198e-06
3,0,33,-6.739464252331691e-06
3,0,34,-4.789633456742516e-06
3,0,35,-1.5077520626646305e-06
3,0,36,1.4163657608203141e-06
4,0,0,6.174983901629216e-07
4,0,1,-5.590241554810306e-07
4,0,2,-4.278988553875886e-06
4,0,3,-1.1144051843606706e-05
4,0,4,-1.9815221025649022e-05
4,0,5,-2.702603855395374e-05
4,0,6,-2.9953863568847822e-05
4,0,7,-2.8347029423855677e-05
4,0,8,-2.482869641134435e-05
4,0,9,-2.24996026814856e-05
4,0,10,-2.2662745660733362e-05
4,0,11,-2.3962487823702208e-05
4,0,12,-2.418335534113802e-05
4,0,13,-2.2098191004312645e-05
4,0,14,-1.862595700474019e-05
4,0,15,-1.5701439640226802e-05
4,0,16,-1.5018836935331474e-05
4,0,17,-1.6697102067669508e-05
4,0,18,-1.973081409530064e-05
4,0,19,-2.2430530559633378e-05
4,0,20,-2.353020862348688e-05
4,0,21,-2.228217378166949e-05
4,0,22,-1.9075998272947937e-05
4,0,23,-1.4960763151172741e-05
4,0,24,-1.161449708005595e-05
4,0,25,-1.00898950816489e-05
4,0,26,-1.0618305690486812e-05
4,0,27,-1.2148747372562024e-05
4,0,28,-1.3568316555668657e-05
4,0,29,-1.405360983904242e-05
4,0,30,-1.3950299970530715e-05
4,0,31,-1.3776742185398817e-05
4,0,32,-1.4045831840236956e-05
4,0,33,-1.4333297653899304e-05
4,0,34,-1.4128994581814771e-05
4,0,35,-1.2790157242810831e-05
4,0,36,-1.0526848357105228e-05
5,0,0,1.6278900390455874e-06
5,0,1,-5.307147591295056e-06
5,0,2,-7.62203355850888e-06
5,0,3,-3.5421239390726967e-06
5,0,4,2.2405635142689717e-06
5,0,5,3.164974670521537e-06
5,0,6,-2.81100587567882e-06
5,0,7,-1.1115448598607606e-05
5,0,8,-1.4957439493685056e-05
5,0,9,-1.1982102474862371e-05
5,0,10,-6.591456720338488e-06
5,0,11,-5.575160040592364e-06
5,0,12,-1.1276862810300479e-05
5,0,13,-1.914447231107536e-05
5,0,14,-2.2186318859440364e-05
5,0,15,-1.7887137340096937e-05
5,0,16,-1.0744647603169418e-05
5,0,17,-7.821085571905009e-06
5,0,18,-1.1714374151714131e-05
5,0,19,-1.788155085975752e-05
5,0,20,-1.8964444744336523e-05
5,0,21,-1.1814686325644123e-05
5,0,22,-6.577091978905695e-07
5,0,23,6.553086229692565e-06
5,0,24,5.022666739288407e-06
5,0,25,-2.9954184802381275e-06
5,0,26,-1.0515487676717155e-05
5,0,27,-1.1755688494854619e-05
5,0,28,-6.569309432626655e-06
5,0,29,2.240558193724887e-07
5,0,30,3.2169686644072625e-06
5,0,31,6.679362385907254e-07
5,0,32,-4.687409888718796e-06
5,0,33,-8.216808177734659e-06
5,0,34,-6.981687433279117e-06
5,0,35,-1.504902979519402e-06
5,0,36,5.1537176518090826e-06
6,0,0,-5.1611173008129705e-06
6,0,1,-5.240541746262383e-07
6,0,2,2.2030731416590696e-07
6,0,3,-2.7271579207824786e-06
6,0,4,-6.162630689658308e-06
6,0,5,-6.4199551208589975e-06
6,0,6,-2.466893456965028e-06
6,0,7,3.0255876932380743e-06
6,0,8,5.920260170567e-06
6,0,9,4.179584055671789e-06
6,0,10,-3.2015134842855297e-07
6,0,11,-3.569785675142491e-06
6,0,12,-2.9593601070575053e-06
6,0,13,4.419114313716607e-07
6,0,14,3.0648629492268026e-06
6,0,15,2.063321547944233e-06
6,0,16,-2.322404396227533e-06
6,0,17,-7.195236792437534e-06
6,0,18,-9.417542018397404e-06
6,0,19,-7.83995213027972e-06
6,0,20,-3.654202064235911e-06
6,0,21,8.37482833704888e-07
6,0,22,3.881505530075252e-06
6,0,23,5.038900492361194e-06
6,0,24,5.012632102195278e-06
6,0,25,4.803420669031078e-06
6,0,26,4.9617837078529765e-06
6,0,27,5.189634325713057e-06
6,0,28,4.777753272973049e-06
6,0,29,3.436005914677953e-06
6,0,30,1.8287222973974946e-06
6,0,31,1.022012672133001e-06
6,0,32,1.2744870408652745e-06
6,0,33,1.4398291783346948e-06
6,0,34,-4.4817281931760896e-08
6,0,35,-3.3732384101923683e-06
6,0,36,-6.498337558213062e-06
7,0,0,-8.183395524680918e-06
7,0,1,-1.0139047814043949e-05
7,0,2,-8.91250324095604e-06
7,0,3,-5.584644251483778e-06
7,0,4,-3.14782523816936e-06
7,0,5,-3.334242914778074e-06
7,0,6,-5.115721509187988e-06
7,0,7,-5.922894431060468e-06
7,0,8,-4.554289693821812e-06
7,0,9,-2.4480538196338904e-06
7,0,10,-2.346432882808545e-06
7,0,11,-5.345060424200227e-06
7,0,12,-9.665925752748558e-06
7,0,13,-1.1994651319146546e-05
7,0,14,-1.0564451961807188e-05
7,0,15,-6.669398962250335e-06
7,0,16,-3.7375874501200377e-06
7,0,17,-4.338678328244809e-06
7,0,18,-8.253887913480592e-06
7,0,19,-1.2707860340202006e-05
7,0,20,-1.4866084023711589e-05
7,0,21,-1.3813005558688273e-05
7,0,22,-1.0985676071858792e-05
7,0,23,-8.502796244383545e-06
7,0,24,-7.568722616275363e-06
7,0,25,-7.765912712090278e-06
7,0,26,-8.133683998732774e-06
7,0,27,-8.276744607070379e-06
7,0,28,-8.90468449678733e-06
7,0,29,-1.088320075569787e-05
7,0,30,-1.4284496350262257e-05
7,0,31,-1.764416109752522e-05
7,0,32,-1.890132726628448e-05
7,0,33,-1.6853164084861634e-05
7,0,34,-1.2605652051689504e-05
7,0,35,-8.989612385708649e-06
7,0,36,-8.84382111043775e-06
8,0,0,-8.121458934567255e-06
8,0,1,-7.248902801407914e-06
8,0,2,-5.131016663714559e-06
8,0,3,-3.4980512803595696e-06
8,0,4,-2.8954415460602045e-06
8,0,5,-2.8933266070491867e-06
8,0,6,-3.189572136996457e-06
8,0,7,-4.028775279955383e-06
8,0,8,-5.286299425834594e-06
8,0,9,-5.8225098613511365e-06
8,0,10,-4.209222669454815e-06
8,0,11,-5.605053130996738e-07
8,0,12,2.8037391948023126e-06
8,0,13,3.1098993085402885e-06
8,0,14,4.775423647734478e-08
8,0,15,-3.5314533832746123e-06
8,0,16,-4.073076767538886e-06
8,0,17,-8.373480465880768e-07
8,0,18,3.2207714437109812e-06
8,0,19,4.243976645314717e-06
8,0,20,1.329299286025379e-06
8,0,21,-2.5470144844169087e-06
8,0,22,-3.502317174372332e-06
8,0,23,-7.317114177461551e-07
8,0,24,2.6360190924502023e-06
8,0,25,2.5709833081445958e-06
8,0,26,-1.9670289768580936e-06
8,0,27,-8.047128478068908e-06
8,0,28,-1.1403489940525811e-05
8,0,29,-9.889238719574937e-06
8,0,30,-4.757079730497929e-06
8,0,31,8.596869648364291e-07
8,0,32,4.264231456422901e-06
8,0,33,4.408340530268333e-06
8,0,34,1.7957884023619015e-06
8,0,35,-1.9768647984064522e-06
8,0,36,-4.662843708862083e-06
9,0,0,1.555448966868858e-06
9,0,1,4.617300942891104e-06
9,0,2,8.147367892421674e-06
9,0,3,9.689297584145105e-06
9,0,4,7.361006392423157e-06
9,0,5,1.7479915446884598e-06
9,0,6,-3.7661921503106817e-06
9,0,7,-5.318355476570955e-06
9,0,8,-1.6615444357946614e-06
9,0,9,4.274439261309828e-06
9,0,10,7.354845111423656e-06
9,0,11,4.178458828809988e-06
9,0,12,-4.038760440535998e-06
9,0,13,-1.2338240232702196e-05
9,0,14,-1.571402850227845e-05
9,0,15,-1.2833845003360433e-05
9,0,16,-6.602547462695053e-06
9,0,17,-1.729357998859815e-06
9,0,18,-1.0905532852735858e-06
9,0,19,-4.007413068081819e-06
9,0,20,-7.049681258196848e-06
9,0,21,-6.785451943117408e-06
9,0,22,-2.2253182000528003e-06
9,0,23,4.229226096223683e-06
9,0,24,8.242256567465237e-06
9,0,25,6.291130651401439e-06
9,0,26,-1.5958094319519126e-06
9,0,27,-1.1488249754823738e-05
9,0,28,-1.791083949997409e-05
9,0,29,-1.774075380186742e-05
9,0,30,-1.2183581020158989e-05
9,0,31,-5.508485346809741e-06
9,0,32,-1.111990621410636e-06
9,0,33,9.84440172150305e-07
9,0,34,3.38776922536018e-06
9,0,35,7.729298637638592e-06
9,0,36,1.2406410135796814e-05
10,0,0,4.7880618498744336e-06
10,0,1,4.184397829301063e-06
10,0,2,-4.878119016141773e-07
10,0,3,-7.148503315985251e-06
10,0,4,-1.298905136792438e-05
10,0,5,-1.5903654512444947e-05
10,0,6,-1.5145201403483021e-05
10,0,7,-1.1179295127623453e-05
10,0,8,-5.357596535558387e-06
10,0,9,4.991261522970333e-07
10,0,10,4.5266363251033985e-06
10,0,11,5.500659326683309e-06
10,0,12,3.346002317649346e-06
10,0,13,-7.635472798119358e-07
10,0,14,-5.057082383114208e-06
10,0,15,-7.885966014513238e-06
10,0,16,-8.567168825142737e-06
10,0,17,-7.460361050316854e-06
10,0,18,-5.7335376313297085e-06
10,0,19,-4.546754348206398e-06
10,0,20,-4.568171857358654e-06
10,0,21,-5.601074819212962e-06
10,0,22,-7.128916437796002e-06
10,0,23,-8.678502619830929e-06
10,0,24,-1.023440578836062e-05
10,0,25,-1.1668583639382697e-05
10,0,26,-1.2553038146205812e-05
10,0,27,-1.2028915986849603e-05
10,0,28,-9.794494108494281e-06
10,0,29,-6.442883846430238e-06
10,0,30,-3.5002922753381315e-06
10,0,31,-2.1471813262718736e-06
10,0,32,-2.6678128449106634e-06
10,0,33,-4.2559859773337605e-06
10,0,34,-6.222190951979769e-06
10,0,35,-8.296381689367914e-06
10,0,36,-1.0559051745985472e-05
11,0,0,5.301392672534363e-06
11,0,1,6.52413010074392e-06
11,0,2,1.422991247922517e-06
11,0,3,-5.183811012949771e-06
11,0,4,-7.380257121365622e-06
11,0,5,-3.556792997437238e-06
11,0,6,1.970053774382323e-06
11,0,7,3.2349355506095738e-06
11,0,8,-1.7609680333877803e-06
11,0,9,-9.093393008685006e-06
11,0,10,-1.2803715262431131e-05
11,0,11,-1.0269655620739318e-05
11,0,12,-4.378457444305828e-06
11,0,13,-2.461293698002769e-07
11,0,14,-5.811032310892144e-07
11,0,15,-3.7209902629590065e-06
11,0,16,-6.174219835118871e-06
11,0,17,-6.1903790096250015e-06
11,0,18,-5.268803294096935e-06
11,0,19,-5.876906740274752e-06
11,0,20,-8.709261003507463e-06
11,0,21,-1.1738391360560673e-05
11,0,22,-1.2331019572258285e-05
11,0,23,-9.632690633063249e-06
11,0,24,-5.4964385436084265e-06
11,0,25,-2.7244358030995095e-06
11,0,26,-3.038547629133576e-06
11,0,27,-5.824850536950498e-06
11,0,28,-9.068562347765076e-06
11,0,29,-1.0737438584257862e-05
11,0,30,-1.0186805745343575e-05
11,0,31,-7.91145733239438e-06
11,0,32,-5.059346661157483e-06
11,0,33,-2.5299734638347987e-06
11,0,34,-9.8640895536057e-07
11,0,35,-7.059280611119222e-07
11,0,36,-1.8015196742599964e-06
12,0,0,-3.287618213893744e-06
12,0,1,-5.151531954109212e-06
12,0,2,-7.652418685554245e-06
12,0,3,-8.480309897041839e-06
12,0,4,-6.272990233607443e-06
12,0,5,-1.6814912919922362e-06
12,0,6,3.125153353905727e-06
12,0,7,5.5928500766033306e-06
12,0,8,4.3113989437533376e-06
12,0,9,-3.849048028371546e-07
12,0,10,-6.519141704129303e-06
12,0,11,-1.1644699580562478e-05
12,0,12,-1.3911200428920988e-05
12,0,13,-1.281153400659984e-05
12,0,14,-8.936824584835387e-06
12,0,15,-3.6728627130070725e-06
12,0,16,1.4306504667181588e-06
12,0,17,4.900981439548267e-06
12,0,18,5.875064831577275e-06
12,0,19,4.4252367592917635e-06
12,0,20,1.8461089259714283e-06
12,0,21,-1.6842682522065394e-07
12,0,22,-5.280952870201082e-07
12,0,23,3.739991199177907e-07
12,0,24,1.2243312267486931e-06
12,0,25,8.429824572989895e-07
12,0,26,-6.442576801014344e-07
12,0,27,-2.0823765536239598e-06
12,0,28,-2.076514496385801e-06
12,0,29,-1.2692807065794976e-07
12,0,30,3.2628293897307193e-06
12,0,31,6.725507510228193e-06
12,0,32,8.757892049733801e-06
12,0,33,8.189041667873659e-06
12,0,34,5.163842510777972e-06
12,0,35,1.5321518959379103e-06
12,0,36,4.834449172638064e-07
13,0,0,-7.751510681374156e-07
13,0,1,-9.359030767280599e-07
13,0,2,-2.816212005328286e-06
13,0,3,-4.831979530688069e-06
13,0,4,-5.608480288983028e-06
13,0,5,-4.761075686479183e-06
13,0,6,-3.079613134519951e-06
13,0,7,-1.8004921271306217e-06
13,0,8,-1.7139740776490279e-06
13,0,9,-2.6890262634488005e-06
13,0,10,-3.9948151110830166e-06
13,0,11,-4.7986221749130205e-06
13,0,12,-4.643388525507613e-06
13,0,13,-3.4182274757806573e-06
13,0,14,-1.354902289857563e-06
13,0,15,9.368847853237822e-07
13,0,16,2.4114364710012292e-06
13,0,17,1.9576808263760924e-06
13,0,18,-8.608011868121743e-07
13,0,19,-5.151834270152587e-06
13,0,20,-9.016936517340114e-06
13,0,21,-1.066846250504758e-05
13,0,22,-9.67564424947864e-06
13,0,23,-7.197363554879851e-06
13,0,24,-5.062014391056475e-06
13,0,25,-4.403300110556e-06
13,0,26,-5.016935467390312e-06
13,0,27,-5.740278806159701e-06
13,0,28,-5.580129883514789e-06
13,0,29,-4.425290965176797e-06
13,0,30,-2.9810659260345195e-06
13,0,31,-2.1052825418273175e-06
13,0,32,-2.149038514480568e-06
13,0,33,-2.6923915757944477e-06
13,0,34,-2.9637476914631784e-06
13,0,35,-2.398550386076612e-06
13,0,36,-1.0101952434988913e-06
14,0,0,-5.091311762422311e-06
14,0,1,-3.1482086811413412e-06
14,0,2,-4.3778109754621746e-06
14,0,3,-8.523542910233778e-06
14,0,4,-1.1934858953773734e-05
14,0,5,-1.1186330978741211e-05
14,0,6,-6.484031570138879e-06
14,0,7,-1.4463015974763084e-06
14,0,8,4.914960373322819e-07
14,0,9,-9.872605152625293e-07
14,0,10,-3.4966895848717843e-06
14,0,11,-5.0835163013183136e-06
14,0,12,-6.182798189273821e-06
14,0,13,-8.58860816216816e-06
14,0,14,-1.2516751489851643e-05
14,0,15,-1.5568935718948923e-05
14,0,16,-1.4665603739814513e-05
14,0,17,-9.279438520056209e-06
14,0,18,-2.2094347843443565e-06
14,0,19,2.481827178291729e-06
14,0,20,2.798875217064752e-06
14,0,21,-2.2882204916551964e-07
14,0,22,-3.893682572919801e-06
14,0,23,-6.242144538438237e-06
14,0,24,-6.726550882565614e-06
14,0,25,-5.7566427988757225e-06
14,0,26,-3.7500198790806506e-06
14,0,27,-1.369962067151808e-06
14,0,28,4.7588269607955406e-07
14,0,29,8.916473367287379e-07
14,0,30,1.322503996259825e-07
14,0,31,-6.740724630108189e-07
14,0,32,-5.320254865334441e-07
14,0,33,-4.866744413379128e-10
14,0,34,-4.7324638922297593e-07
14,0,35,-2.584386349865404e-06
14,0,36,-4.730264188311273e-06
15,0,0,2.1594518651731585e-06
15,0,1,6.409437723970974e-06
15,0,2,8.035646289186868e-06
